Cluster_Astrocytes_unknown;Cluster_Myeloid_Proliferative_G2M;Cluster_Myeloid_Proliferative_S;Cluster_Stroma_unknown;Cluster_OPC;Cluster_CD4+.T.cells;Cluster_Neutrophils_Monocytes;Cluster_T.cells_core;Cluster_Macrophages_metabolic;Cluster_CD8+.T.cells_effectors;Cluster_Microglia_homeostasis;Cluster_Microglia_core;Cluster_Tregs;Cluster_CD8+.T.cells_proliferative;Cluster_Astrocytes;Cluster_NPC2+.population;Cluster_Polarized.Macrophages;Cluster_Microglia_Cytokine.Chemokyne;Cluster_Neuron_VGF+;Cluster_Proliferative.B.cells;Cluster_Endothelial_ANGPT2+;Cluster_Dendritic.cells;Cluster_Oligodendrocytes;Cluster_Perycites_COL3A1+;Cluster_Activated.B.cells;Cluster_Stroma_progenitor_HES1+;Cluster_Stroma_progenitor_DLK1+
COL6A1;TMPO;DDIT4;MIR100HG;THY1;KLRD1;STXBP2;RPL17;TPI1;S1PR5;ADORA3;PLD4;LCK;SMC2;FABP7;HDLBP;SLC16A10;SNX29;RHOBTB3;BCAS4;PTPRG;PPDPF;CNTNAP4;FN1;;GSTM3;DCXR
CETN2;KPNA2;UBA2;ANXA2;ITM2C;SYNE2;FPR2;RPS29;ATP6V1F;SCML4;P2RY12;SORL1;CD96;ZWINT;SHROOM3;ERN1;CSTA;GAA;CMYA5;CXCR5;ITGA1;ATP5MC2;CERCAM;PDLIM1;;C5orf45;AXIN2
C9orf24;CENPW;FABP5;PDLIM5;ABHD2;GVINP1;SLC7A7;LBH;SLA;CCNJL;AL355075.4;SLC40A1;IL2RG;KIF22;SLC41A1;SDF2L1;SLC5A3;TFRC;BEST3;RUBCNL;TMEM204;AIF1;NCAM1;ARHGAP29;;SYNC;LTBP1
UQCRQ;CFL1;TCIRG1;ACTG1;PLAT;TUBA4A;CCR2;PTPN4;NAMPT;IL2RG;AL360012.1;RNASE6;IL7R;KPNA2;SORBS1;TUBA4A;RALA;FOLR2;IL1RAP;TMEM243;NOSTRIN;AC114760.2;STMN1;COX7A1;;SHISA2;ADGRV1
ZFHX4;CLIC1;RGS1;TAGLN;DPP6;CD52;BACH1;SH2D1A;PAPSS2;KIR3DL2;CSF1R;FCGR1A;CD52;TPX2;EZR;TP53INP1;S100A4;LGMN;UBALD2;CD24;MFSD2A;PLEK2;PHLDB1;GUCY1B3;;TMEM98;SF3B6
MEX3A;ATP5MG;POLR2L;CALD1;ARNT2;CD48;MYD88;RPS27;ANXA2;TGFBR3;RSRP1;NPC2;CD2;STMN1;PRDX6;VOPP1;TPI1;PLD4;PDE8B;IRF8;PAM;IL22RA2;ZNF536;EDNRA;;KIAA1644;TWIST2
IGF2;COX7B;SLC17A9;KRT18;DSEL;TRAF3IP3;RGS2;CRIP1;C5AR1;RAB37;FCGR3A;OLR1;;CYTIP;PDK3;SEC61B;AQP9;TCOF1;PDGFA;RPL32;CD93;RPS12;ANKS1B;ITIH5;;APOLD1;MMP23B
MTF2;RPS21;TPM4;PTTG1IP;DGCR2;CYFIP2;S100A4;ITK;NPL;ZAP70;SORL1;CD86;;LY6E;SLC39A14;CD27;SDS;STAB1;MOXD1;ARID1B;SPRY1;RPS10;NECAB1;PRELP;;RABL5;DPT
CMC1;HNRNPDL;TPST2;PFKP;MEGF11;SYTL2;SERPINB2;GNLY;NCF2;KRT86;CEBPA;HCLS1;;SUB1;CSRP1;OGT;FAM162A;EREG;SLF2;TLE1;ITIH5;RPL11;FAM102A;EPS8;;ADI1;SELENOH
ESF1;S100A6;ACTB;MAP1B;CD82;CD97;FGL2;LINC01871;SRGN;ICAM2;FGD2;TRPM2;;ATP5IF1;LTBP1;SPCS2;S100A11;MAFB;RND3;RPL11;EMCN;VAMP8;UGT8;SMTN;;MRP63;SSBP4
ERH;UQCR10;HMOX1;TIMP3;LIMA1;STK17A;CSRNP1;C12orf75;SQRDL;AKNA;BLNK;LILRB1;;CYTOR;ID3;CCDC69;NOP10;GEM;AL391807.1;MZB1;A2M;RPS11;FDFT1;STOM;;WWTR1;RCOR2
ZNF544;CHCHD2;EIF3B;RPL4;NTRK2;CBLB;CD48;CD5;BNIP3;CD27;HTRA1;AOAH;;RPA3;CD47;SYTL3;MGAT1;TRIB1;GPX3;RPL23A;LAMB2;NDUFB1;MVB12B;MIR143HG;;SPINT2;TWIST1
NDUFB8.1;ATP5MC3;EMP3;TNC;KANK1;SKAP1;RIPOR2;BCL11B;GBE1;C16orf54;APOC2;CD302;;APOBEC3C;LIF;TXNDC11;FCGR2B;CCNH;SCG5;CCR7;TCF4;HINT1;GSN;ANGPT2;;IL1R1;ZBTB20
C19orf43;SNRPD1;IL10;INSIG2;TCF4;ANKRD44;ITGAX;GZMM;P4HA1;ZNF600;AL136987.1;FUCA1;;RBBP7;CLIC4;RPN2;ALOX5AP;DUSP6;NR2F1;LINC01781;GALNT18;RPS13;EDIL3;PLS3;;C9orf3;SDK1
USMG5;NDUFS6;SLC43A3;TPM4;P2RX7;GZMB;LCP1;SIRPG;LSP1;CASP8;IGF1;OLFML3;;TMSB4X;GNG12;CPNE5;TES;REL;ADGRL3;TPD52;CYYR1;RPL24;AMD1;NODAL;;FGFR1;RSPO4
